Latitude,Longitude,Station Name,Station Status
40.701588,-74.01204,SOUTH ST/WHITEHALL ST,at stop
40.701654,-74.011743,SOUTH ST/WHITEHALL ST,approaching
40.763793,-73.962021,2 AV/E 64 ST,approaching
40.786744,-73.945276,2 AV/E 99 ST,approaching
40.776268,-73.949818,1 AV/E 86 ST,approaching
40.76715,-73.956472,1 AV/E 72 ST,approaching
40.718426,-73.990654,ALLEN ST/DELANCEY ST,approaching
40.783548,-73.944505,1 AV/ E 97 ST,approaching
40.747407,-73.973962,2 AV/E 36 ST,< 1 stop away
40.737225,-73.981388,2 AV/E 20 ST,< 1 stop away
40.757339,-73.963628,1 AV/E 57 ST,< 1 stop away
40.74549,-73.972264,1 AV/E 39 ST,< 1 stop away
40.789903,-73.939862,1 AV/E 108 ST,< 1 stop away
40.767825,-73.959076,2 AV/E 68 ST,< 1 stop away
40.719816,-73.989939,ALLEN ST/STANTON ST,< 1 stop away
40.722449,-73.991623,DELANCEY ST/ALLEN ST,< 1 stop away
40.723238,-73.991222,DELANCEY ST/ALLEN ST,< 1 stop away
